world_rank,institution,national_rank,total_score,country_iso_code,country,year
301-400,Northeastern University (Shenyang),33-49,,CN,China,2020
301-400,Peking Union Medical College,33-49,,CN,China,2020
301-400,Pohang University of Science and Technology,7-9,,KR,South Korea,2020
301-400,Polytechnic University of Valencia,6-9,,ES,Spain,2020
301-400,Pompeu Fabra University,6-9,,ES,Spain,2020
301-400,Queensland University of Technology,16-22,,AU,Australia,2020
301-400,RMIT University,16-22,,AU,Australia,2020
301-400,Saint Petersburg State University,2,,RU,Russia,2020
301-400,Shanghai University,33-49,,CN,China,2020
301-400,Simon Fraser University,13-18,,CA,Canada,2020
301-400,Southern University of Science and Technology,33-49,,CN,China,2020
301-400,Swedish University of Agricultural Sciences,7-9,,SE,Sweden,2020
301-400,Technical University of Berlin,20-24,,DE,Germany,2020
301-400,Temple University,95-114,,US,United States,2020
301-400,The George Washington University,95-114,,US,United States,2020
301-400,The Hong Kong University of Science and Technology,5,,HK,Hong Kong,2020
301-400,The University of Dundee,29-34,,GB,United Kingdom,2020
301-400,The University of New Mexico - Albuquerque,95-114,,US,United States,2020
301-400,"The University of Newcastle, Australia",16-22,,AU,Australia,2020
301-400,The University of Texas at Dallas,95-114,,US,United States,2020
301-400,The University of Texas Health Science Center at Houston,95-114,,US,United States,2020
301-400,UNESP,2-3,,BR,Brazil,2020
301-400,"University at Buffalo, the State University of New York",95-114,,US,United States,2020
301-400,University College Dublin,2,,IE,Ireland,2020
301-400,University of Alabama at Birmingham,95-114,,US,United States,2020
301-400,University of Antwerp,6-7,,BE,Belgium,2020
301-400,University of Bath,29-34,,GB,United Kingdom,2020
301-400,University of Bergen,3,,NO,Norway,2020
301-400,University of Campinas,2-3,,BR,Brazil,2020
301-400,University of Central Florida,95-114,,US,United States,2020
301-400,University of Côte d'Azur,13-16,,FR,France,2020
301-400,University of Duisburg-Essen,20-24,,DE,Germany,2020
301-400,University of Florence,8-10,,IT,Italy,2020
301-400,University of Guelph,13-18,,CA,Canada,2020
301-400,University of Hawaii at Manoa,95-114,,US,United States,2020
301-400,University of Kentucky,95-114,,US,United States,2020
301-400,University of Leicester,29-34,,GB,United Kingdom,2020
301-400,University of Malaya,1,,MY,Malaysia,2020
301-400,University of Manitoba,13-18,,CA,Canada,2020
301-400,University of Milano-Bicocca,8-10,,IT,Italy,2020
301-400,University of Naples Federico II,8-10,,IT,Italy,2020
301-400,"University of Natural Resources and Life Sciences, Vienna",4-5,,AT,Austria,2020
301-400,University of Notre Dame,95-114,,US,United States,2020
301-400,University of Oregon,95-114,,US,United States,2020
301-400,University of Otago,2,,NZ,New Zealand,2020
301-400,University of Porto,2,,PT,Portugal,2020
301-400,University of Saskatchewan,13-18,,CA,Canada,2020
301-400,University of South Carolina - Columbia,95-114,,US,United States,2020
301-400,University of Southern Denmark,4-5,,DK,Denmark,2020
301-400,University of St Andrews,29-34,,GB,United Kingdom,2020
301-400,University of Stuttgart,20-24,,DE,Germany,2020
301-400,University of Surrey,29-34,,GB,United Kingdom,2020
301-400,University of Tehran,1,,IR,Iran,2020
301-400,University of the Basque Country,6-9,,ES,Spain,2020
301-400,University of Toulouse 1,13-16,,FR,France,2020
301-400,University of Turku,2,,FI,Finland,2020
301-400,University of Ulm,20-24,,DE,Germany,2020
301-400,University of Vermont,95-114,,US,United States,2020
301-400,University of Victoria,13-18,,CA,Canada,2020
301-400,University of Warsaw,1,,PL,Poland,2020
301-400,Vienna University of Technology,4-5,,AT,Austria,2020
301-400,Vrije Universiteit Brussel (VUB),6-7,,BE,Belgium,2020
301-400,Washington State University,95-114,,US,United States,2020
301-400,Western Sydney University,16-22,,AU,Australia,2020
301-400,Wuhan University of Technology,33-49,,CN,China,2020
301-400,Zhengzhou University,33-49,,CN,China,2020
401-500,Aalto University,3,,FI,Finland,2020
401-500,Bar-Ilan University,5-6,,IL,Israel,2020
401-500,Beijing Jiaotong University,50-71,,CN,China,2020
401-500,Beijing University of Technology,50-71,,CN,China,2020
401-500,Ben-Gurion University of the Negev,5-6,,IL,Israel,2020
401-500,Brigham Young University,115-133,,US,United States,2020
401-500,Cairo University,1,,EG,Egypt,2020
401-500,Chiba University,11-14,,JP,Japan,2020
401-500,China University of Geosciences (Beijing),50-71,,CN,China,2020
401-500,China University of Mining and Technology - Xuzhou,50-71,,CN,China,2020
401-500,CUNY Graduate School and University Center,115-133,,US,United States,2020
401-500,East China Normal University,50-71,,CN,China,2020
401-500,Eindhoven University of Technology,11-12,,NL,Netherlands,2020
401-500,Federal University of Minas Gerais,4-6,,BR,Brazil,2020
401-500,Federal University of Rio de Janeiro,4-6,,BR,Brazil,2020
401-500,Federal University of Rio Grande do Sul,4-6,,BR,Brazil,2020
401-500,Flinders University,23,,AU,Australia,2020
401-500,Florida International University,115-133,,US,United States,2020
401-500,Fuzhou University,50-71,,CN,China,2020
401-500,Georgia State University,115-133,,US,United States,2020
401-500,Guangdong University of Technology,50-71,,CN,China,2020
401-500,Hannover Medical School,25-30,,DE,Germany,2020
401-500,Harbin Engineering University,50-71,,CN,China,2020
401-500,Hefei University of Technology,50-71,,CN,China,2020
401-500,Istanbul University,1,,TR,Turkey,2020
401-500,Jagiellonian University,2,,PL,Poland,2020
401-500,Jinan University,50-71,,CN,China,2020
401-500,Kansas State University,115-133,,US,United States,2020
401-500,King Fahd University of Petroleum & Minerals,4,,SA,Saudi Arabia,2020
401-500,Kobe University,11-14,,JP,Japan,2020
401-500,Lanzhou University,50-71,,CN,China,2020
401-500,Mahidol University,1,,TH,Thailand,2020
401-500,Medical University of Graz,6-7,,AT,Austria,2020
401-500,Moscow Institute of Physics and Technology,3,,RU,Russia,2020
401-500,Nanchang University,50-71,,CN,China,2020
401-500,Nanjing Medical University,50-71,,CN,China,2020
401-500,NanJing Tech University,50-71,,CN,China,2020
401-500,Nanjing University of Information Science & Technology,50-71,,CN,China,2020
401-500,National Chiao Tung University,4-5,,TW,Taiwan,2020
401-500,National Tsing Hua University,4-5,,TW,Taiwan,2020
401-500,Ocean University of China,50-71,,CN,China,2020
401-500,Okayama University,11-14,,JP,Japan,2020
401-500,Pusan National University,10-11,,KR,South Korea,2020
401-500,Qingdao University,50-71,,CN,China,2020
401-500,Queen's University Belfast,35-36,,GB,United Kingdom,2020
401-500,Rensselaer Polytechnic Institute,115-133,,US,United States,2020
401-500,Saint Louis University,115-133,,US,United States,2020
401-500,San Diego State University,115-133,,US,United States,2020
401-500,Scuola Normale Superiore - Pisa,11-17,,IT,Italy,2020
401-500,Shandong University of Science and Technology,50-71,,CN,China,2020
401-500,ShanghaiTech University,50-71,,CN,China,2020
401-500,South China Agricultural University,50-71,,CN,China,2020
401-500,Southwest University,50-71,,CN,China,2020
401-500,Stellenbosch University,3-4,,ZA,South Africa,2020
401-500,Stockholm School of Economics,10-11,,SE,Sweden,2020
401-500,Technical University Darmstadt,25-30,,DE,Germany,2020
401-500,Texas Tech University,115-133,,US,United States,2020
401-500,The City College of New York,115-133,,US,United States,2020
401-500,The University of Texas Health Science Center at San Antonio,115-133,,US,United States,2020
401-500,The University of Texas Medical Branch at Galveston,115-133,,US,United States,2020
401-500,Tokyo University of Science,11-14,,JP,Japan,2020
401-500,Ulsan National Institute of Science and Technology,10-11,,KR,South Korea,2020
401-500,Umea University,10-11,,SE,Sweden,2020
401-500,University College Cork,3,,IE,Ireland,2020
401-500,University of Bari,11-17,,IT,Italy,2020
401-500,University of Belgrade,1,,RS,Serbia,2020
401-500,University of Bochum,25-30,,DE,Germany,2020
401-500,University of California-Merced,115-133,,US,United States,2020
401-500,University of Canterbury,3-4,,NZ,New Zealand,2020
401-500,University of Catania,11-17,,IT,Italy,2020
401-500,University of Chile,1,,CL,Chile,2020
401-500,University of Fribourg,8,,CH,Switzerland,2020
401-500,University of Graz,6-7,,AT,Austria,2020
401-500,University of Jena,25-30,,DE,Germany,2020
401-500,University of Lille,17,,FR,France,2020
401-500,University of Maine,115-133,,US,United States,2020
401-500,University of Marburg,25-30,,DE,Germany,2020
401-500,University of Minho,3,,PT,Portugal,2020
401-500,University of North Texas,115-133,,US,United States,2020
401-500,University of Oklahoma - Norman,115-133,,US,United States,2020
401-500,University of Oviedo,10-13,,ES,Spain,2020
401-500,University of Pavia,11-17,,IT,Italy,2020
401-500,University of Perugia,11-17,,IT,Italy,2020
401-500,University of Potsdam,25-30,,DE,Germany,2020
401-500,University of Pretoria,3-4,,ZA,South Africa,2020
401-500,University of Santiago Compostela,10-13,,ES,Spain,2020
401-500,University of Seville,10-13,,ES,Spain,2020
401-500,University of Strathclyde,35-36,,GB,United Kingdom,2020
401-500,University of Tartu,1,,EE,Estonia,2020
401-500,University of Trento,11-17,,IT,Italy,2020
401-500,University of Twente,11-12,,NL,Netherlands,2020
401-500,University of Zagreb,1,,HR,Croatia,2020
401-500,University of Zaragoza,10-13,,ES,Spain,2020
401-500,Utah State University,115-133,,US,United States,2020
401-500,Victoria University of Wellington,3-4,,NZ,New Zealand,2020
401-500,Vita-Salute San Raffaele University,11-17,,IT,Italy,2020
401-500,Wake Forest University,115-133,,US,United States,2020
401-500,West Virginia University,115-133,,US,United States,2020
401-500,Xidian University,50-71,,CN,China,2020
401-500,York University,19,,CA,Canada,2020
501-600,Amirkabir University of Technology,2-5,,IR,Iran,2020
501-600,Aristotle University of Thessaloniki,2,,GR,Greece,2020
501-600,Auburn University,134-154,,US,United States,2020
501-600,Australian Catholic University,24-26,,AU,Australia,2020
501-600,Baylor University,134-154,,US,United States,2020
501-600,Binghamton University,134-154,,US,United States,2020
501-600,Bocconi University,18-24,,IT,Italy,2020
501-600,Boston College,134-154,,US,United States,2020
501-600,Brunel University,37-43,,GB,United Kingdom,2020
501-600,Carleton University,20,,CA,Canada,2020
501-600,Central China Normal University,72-84,,CN,China,2020
501-600,Chang Gung University,6-7,,TW,Taiwan,2020
501-600,China University of Petroleum (Huadong),72-84,,CN,China,2020
501-600,Jeonbuk National University,12-17,,KR,South Korea,2020
501-600,Chonnam National University,12-17,,KR,South Korea,2020
501-600,Clemson University,134-154,,US,United States,2020
501-600,COMSATS University Islamabad,1,,PK,Pakistan,2020
501-600,Donghua University,72-84,,CN,China,2020
501-600,Ewha Womans University,12-17,,KR,South Korea,2020
501-600,Hiroshima University,15-17,,JP,Japan,2020
501-600,Indian Institute of Science,1,,IN,India,2020
501-600,Jiangnan University,72-84,,CN,China,2020
501-600,Kent State University,134-154,,US,United States,2020
501-600,Kitasato University,15-17,,JP,Japan,2020
501-600,Loughborough University,37-43,,GB,United Kingdom,2020
501-600,Loyola University Chicago,134-154,,US,United States,2020
501-600,Macau University of Science and Technology,1,,MO,Macao,2020
501-600,Medical University of Innsbruck,8,,AT,Austria,2020
501-600,Mississippi State University,134-154,,US,United States,2020
501-600,Nanjing Normal University,72-84,,CN,China,2020
501-600,National Polytechnic Institute,2,,MX,Mexico,2020
501-600,National University of Defense Technology,72-84,,CN,China,2020
501-600,National University of Malaysia,2-3,,MY,Malaysia,2020
501-600,National Yang Ming University,6-7,,TW,Taiwan,2020
501-600,North China Electric Power University,72-84,,CN,China,2020
501-600,Northern Arizona University,134-154,,US,United States,2020
501-600,Northwest A&F University,72-84,,CN,China,2020
501-600,Novosibirsk State University,4,,RU,Russia,2020
501-600,Oklahoma State University,134-154,,US,United States,2020
501-600,Palacký University Olomouc,2,,CZ,Czechia,2020
501-600,Polytechnic University of Madrid,14-18,,ES,Spain,2020
501-600,Pontifical Catholic University of Chile,2,,CL,Chile,2020
501-600,Rush University,134-154,,US,United States,2020
501-600,Saarland University,31-35,,DE,Germany,2020
501-600,Sejong University,12-17,,KR,South Korea,2020
501-600,Sharif University of Technology,2-5,,IR,Iran,2020
501-600,South China Normal University,72-84,,CN,China,2020
501-600,Southern Medical University,72-84,,CN,China,2020
501-600,Southern Methodist University,134-154,,US,United States,2020
501-600,"St George's, University of London",37-43,,GB,United Kingdom,2020
501-600,Tarbiat Modares University,2-5,,IR,Iran,2020
501-600,Tehran University of Medical Sciences,2-5,,IR,Iran,2020
501-600,The University of Alabama - Tuscaloosa,134-154,,US,United States,2020
501-600,The University of Tokushima,15-17,,JP,Japan,2020
501-600,Thomas Jefferson University,134-154,,US,United States,2020
501-600,University at Albany (State University of New York),134-154,,US,United States,2020
501-600,University of Auvergne,18-20,,FR,France,2020
501-600,University of Aveiro,4-5,,PT,Portugal,2020
501-600,University of Bremen,31-35,,DE,Germany,2020
501-600,University of Burgundy,18-20,,FR,France,2020
501-600,University of Coimbra,4-5,,PT,Portugal,2020
501-600,University of Eastern Finland,4-6,,FI,Finland,2020
501-600,University of Essex,37-43,,GB,United Kingdom,2020
501-600,University of Ferrara,18-24,,IT,Italy,2020
501-600,University of Genoa,18-24,,IT,Italy,2020
501-600,University of Halle-Wittenberg,31-35,,DE,Germany,2020
501-600,University of Iceland,1,,IS,Iceland,2020
501-600,University of Idaho,134-154,,US,United States,2020
501-600,University of Kent,37-43,,GB,United Kingdom,2020
501-600,University of KwaZulu-Natal,5,,ZA,South Africa,2020
501-600,University of Ljubljana,1,,SI,Slovenia,2020
501-600,University of Navarra,14-18,,ES,Spain,2020
501-600,University of Nevada - Reno,134-154,,US,United States,2020
501-600,University of Nevada-Las Vegas,134-154,,US,United States,2020
501-600,University of New England,24-26,,AU,Australia,2020
501-600,University of New Hampshire,134-154,,US,United States,2020
501-600,University of Oulu,4-6,,FI,Finland,2020
501-600,University of Palermo,18-24,,IT,Italy,2020
501-600,University of Parma,18-24,,IT,Italy,2020
501-600,University of Plymouth,37-43,,GB,United Kingdom,2020
501-600,University of Portsmouth,37-43,,GB,United Kingdom,2020
501-600,University of Regensburg,31-35,,DE,Germany,2020
501-600,University of Rennes 1,18-20,,FR,France,2020
501-600,University of Roma - Tor Vergata,18-24,,IT,Italy,2020
501-600,University of Rostock,31-35,,DE,Germany,2020
501-600,"University of Science, Malaysia",2-3,,MY,Malaysia,2020
501-600,University of South Australia,24-26,,AU,Australia,2020
501-600,University of Tampere,4-6,,FI,Finland,2020
501-600,University of the Balearic Islands,14-18,,ES,Spain,2020
501-600,University of Tromso,4,,NO,Norway,2020
501-600,University of Ulsan,12-17,,KR,South Korea,2020
501-600,University of Verona,18-24,,IT,Italy,2020
501-600,University of Vigo,14-18,,ES,Spain,2020
501-600,University of Wyoming,134-154,,US,United States,2020
501-600,University Rovira i Virgili,14-18,,ES,Spain,2020
501-600,Wayne State University,134-154,,US,United States,2020
501-600,Wenzhou Medical University,72-84,,CN,China,2020
501-600,Yangzhou University,72-84,,CN,China,2020
501-600,Yeungnam University,12-17,,KR,South Korea,2020
501-600,Zhejiang University of Technology,72-84,,CN,China,2020
601-700,American University of Beirut,1,,LB,Lebanon,2020
601-700,Beijing University of Posts and Telecommunications,85-102,,CN,China,2020
601-700,Catholic University of the Sacred Heart,25-30,,IT,Italy,2020
601-700,China Medical University (Shenyang),85-102,,CN,China,2020
601-700,Chung-Ang University,18-20,,KR,South Korea,2020
601-700,Chungbuk National University,18-20,,KR,South Korea,2020
601-700,Colorado School of Mines,155-175,,US,United States,2020
601-700,Comenius University in Bratislava,1,,SK,Slovakia,2020
601-700,Concordia University,21-24,,CA,Canada,2020
601-700,CUNY Hunter College,155-175,,US,United States,2020
601-700,Edith Cowan University,27-29,,AU,Australia,2020
601-700,Eotvos Lorand University,1-2,,HU,Hungary,2020
601-700,Federal University of Parana,7-8,,BR,Brazil,2020
601-700,Federal University of Sao Paulo,7-8,,BR,Brazil,2020
601-700,Fujian Agriculture and Forestry University,85-102,,CN,China,2020
601-700,Fujian Normal University,85-102,,CN,China,2020
601-700,Graz University of Technology,9,,AT,Austria,2020
601-700,Guangzhou Medical University,85-102,,CN,China,2020
601-700,Guangzhou University,85-102,,CN,China,2020
601-700,Hacettepe University,2-3,,TR,Turkey,2020
601-700,Hasselt University,8,,BE,Belgium,2020
601-700,Hohai University,85-102,,CN,China,2020
601-700,Humanitas University,25-30,,IT,Italy,2020
601-700,Hunan Normal University,85-102,,CN,China,2020
601-700,Indian Institute of Technology Madras,2-4,,IN,India,2020
601-700,INHA University,18-20,,KR,South Korea,2020
601-700,Istanbul Technical University,2-3,,TR,Turkey,2020
601-700,Keele University,44-45,,GB,United Kingdom,2020
601-700,Leibniz University Hannover,36-39,,DE,Germany,2020
601-700,Masaryk University,3,,CZ,Czechia,2020
601-700,Massey University,5,,NZ,New Zealand,2020
601-700,Medical College of Wisconsin,155-175,,US,United States,2020
601-700,Memorial University of Newfoundland,21-24,,CA,Canada,2020
601-700,Miguel Hernandez University of Elche,19-22,,ES,Spain,2020
601-700,Missouri University of Science and Technology,155-175,,US,United States,2020
601-700,Murdoch University,27-29,,AU,Australia,2020
601-700,National Sun Yat-Sen University,8-9,,TW,Taiwan,2020
601-700,National Technical University of Athens,3,,GR,Greece,2020
601-700,"National University of Ireland, Galway",4,,IE,Ireland,2020
601-700,New University of Lisbon,6,,PT,Portugal,2020
601-700,Northeast Normal University,85-102,,CN,China,2020
601-700,Northwest University,85-102,,CN,China,2020
601-700,North-West University,6-7,,ZA,South Africa,2020
601-700,Norwegian University of Life Sciences,5,,NO,Norway,2020
601-700,Ohio University,155-175,,US,United States,2020
601-700,Orebro University,12,,SE,Sweden,2020
601-700,Polytechnic University of Turin,25-30,,IT,Italy,2020
601-700,Qatar University,1,,QA,Qatar,2020
601-700,Renmin University of China,85-102,,CN,China,2020
601-700,Shaanxi Normal University,85-102,,CN,China,2020
601-700,Shanxi University,85-102,,CN,China,2020
601-700,Southwest Jiaotong University,85-102,,CN,China,2020
601-700,State University of New York Health Science Center at Brooklyn,155-175,,US,United States,2020
601-700,Swansea University,44-45,,GB,United Kingdom,2020
601-700,Swarthmore College,155-175,,US,United States,2020
601-700,Syracuse University,155-175,,US,United States,2020
601-700,Taipei Medical University,8-9,,TW,Taiwan,2020
601-700,Technical University of Braunschweig,36-39,,DE,Germany,2020
601-700,The University of Texas at Arlington,155-175,,US,United States,2020
601-700,The University of Texas at San Antonio,155-175,,US,United States,2020
601-700,Tianjin Medical University,85-102,,CN,China,2020
601-700,Tilburg University,13,,NL,Netherlands,2020
601-700,Tokyo Medical and Dental University,18-19,,JP,Japan,2020
601-700,Tulane University,155-175,,US,United States,2020
601-700,Universitat Jaume I,19-22,,ES,Spain,2020
601-700,Universiti Teknologi Malaysia,4,,MY,Malaysia,2020
601-700,University of Alaska - Fairbanks,155-175,,US,United States,2020
